id,time,tipo_informacion,num_serie_sismo,Update,Profundidad,mag,intencidad_max,title,nombre_area_epicentral,latitud,longitud
20230510215351,2023-05-10 21:59:00,anuncio,1,2023-05-10 21:53:00,210,3.7,1,Earthquake and Seismic Intensity Information,Northern Coast of Iwate Prefecture,39.8000000,141.9000000
20230510215452,2023-05-10 21:58:00,anuncio,1,2023-05-10 21:54:00,495,5.1,3,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230510172938,2023-05-10 17:32:00,anuncio,1,2023-05-10 17:29:00,497,3.0,2,Earthquake and Seismic Intensity Information,Toyama Bay,37.4000000,137.3000000
20230510112107,2023-05-10 11:24:00,anuncio,1,2023-05-10 11:21:00,341,4.1,3,Earthquake and Seismic Intensity Information,Northwestern Chiba Prefecture,35.7000000,140.0000000
20230510071441,2023-05-10 07:19:00,anuncio,1,2023-05-10 07:14:00,495,5.0,4,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230510030324,2023-05-10 03:07:00,anuncio,1,2023-05-10 03:02:00,286,4.2,2,Earthquake and Seismic Intensity Information,Off the Coast of Iwate Prefecture,39.9000000,142.3000000
20230510025936,2023-05-10 03:02:00,anuncio,1,2023-05-10 02:59:00,390,3.4,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230510024056,2023-05-10 02:43:00,anuncio,1,2023-05-10 02:40:00,741,2.9,2,Earthquake and Seismic Intensity Information,"Kumamoto Region, Kumamoto Prefecture",32.8000000,130.9000000
20230509231507,2023-05-09 23:18:00,anuncio,1,2023-05-09 23:15:00,497,1.8,1,Earthquake and Seismic Intensity Information,Toyama Bay,37.4000000,137.3000000
20230509213216,2023-05-09 21:35:00,anuncio,1,2023-05-09 21:32:00,286,3.8,2,Earthquake and Seismic Intensity Information,Off the Coast of Iwate Prefecture,39.6000000,142.1000000
20230509132244,2023-05-09 13:26:00,anuncio,1,2023-05-09 13:22:00,285,3.7,2,Earthquake and Seismic Intensity Information,Off the east Coast of Aomori Prefecture,40.9000000,142.0000000
20230509110558,2023-05-09 11:08:00,anuncio,1,2023-05-09 11:05:00,495,4.3,2,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230509090608,2023-05-09 09:08:00,anuncio,1,2023-05-09 09:06:00,390,2.2,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230509051617,2023-05-09 05:20:00,anuncio,1,2023-05-09 05:16:00,390,4.3,3,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230509051422,2023-05-09 05:19:00,anuncio,1,2023-05-09 05:14:00,390,4.9,4,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230509024026,2023-05-09 02:42:00,anuncio,1,2023-05-09 02:40:00,850,3.4,1,Earthquake and Seismic Intensity Information,Adjacent Sea of Okinawa Main Island,26.4000000,127.4000000
20230509021501,2023-05-09 02:17:00,anuncio,1,2023-05-09 02:15:00,390,2.9,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230508214339,2023-05-08 21:46:00,anuncio,1,2023-05-08 21:43:00,289,3.4,1,Earthquake and Seismic Intensity Information,Off the Coast of Fukushima Prefecture,37.3000000,141.1000000
20230508145631,2023-05-08 14:59:00,anuncio,1,2023-05-08 14:56:00,390,3.8,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230508121605,2023-05-08 12:19:00,anuncio,1,2023-05-08 12:16:00,495,3.1,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230508114558,2023-05-08 11:48:00,anuncio,1,2023-05-08 11:45:00,390,3.5,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230508110517,2023-05-08 11:08:00,anuncio,1,2023-05-08 11:05:00,250,3.7,1,Earthquake and Seismic Intensity Information,"Nakadori, Fukushima Prefecture",37.2000000,140.0000000
20230508094918,2023-05-08 09:52:00,anuncio,1,2023-05-08 09:49:00,497,1.9,1,Earthquake and Seismic Intensity Information,Toyama Bay,37.4000000,137.4000000
20230507185625,2023-05-07 18:59:00,anuncio,1,2023-05-07 18:56:00,233,2.6,2,Earthquake and Seismic Intensity Information,Southern Inland of Akita Prefecture,39.1000000,140.5000000
20230507143524,2023-05-07 14:38:00,anuncio,1,2023-05-07 14:35:00,390,2.6,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230507142404,2023-05-07 14:29:00,anuncio,1,2023-05-07 14:24:00,495,2.1,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.5000000,137.4000000
20230507141114,2023-05-07 14:13:00,anuncio,1,2023-05-07 14:11:00,495,2.9,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230507133753,2023-05-07 13:40:00,anuncio,1,2023-05-07 13:37:00,390,2.5,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230507114443,2023-05-07 11:47:00,anuncio,1,2023-05-07 11:44:00,495,3.5,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230507031936,2023-05-07 03:21:00,anuncio,1,2023-05-07 03:19:00,390,2.8,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230507030457,2023-05-07 03:07:00,anuncio,1,2023-05-07 03:04:00,390,3.3,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
20230507011027,2023-05-07 01:12:00,anuncio,1,2023-05-07 01:10:00,390,3.1,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230506235404,2023-05-06 23:56:00,anuncio,1,2023-05-06 23:54:00,495,4.1,2,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230506201445,2023-05-06 20:17:00,anuncio,1,2023-05-06 20:14:00,495,2.9,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230506195613,2023-05-06 19:58:00,anuncio,1,2023-05-06 19:56:00,390,2.7,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230506125901,2023-05-06 13:01:00,anuncio,1,2023-05-06 12:59:00,793,3.0,1,Earthquake and Seismic Intensity Information,Adjacent Sea of Amami-Oshima Island,28.5000000,129.5000000
20230506084805,2023-05-06 08:50:00,anuncio,1,2023-05-06 08:48:00,390,3.0,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230506064829,2023-05-06 06:51:00,anuncio,1,2023-05-06 06:48:00,390,3.4,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230506053123,2023-05-06 05:33:00,anuncio,1,2023-05-06 05:31:00,390,2.7,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
20230506044432,2023-05-06 04:46:00,anuncio,1,2023-05-06 04:44:00,390,3.1,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
20230506024725,2023-05-06 02:51:00,anuncio,1,2023-05-06 02:47:00,285,5.5,4,Earthquake and Seismic Intensity Information,Off the east Coast of Aomori Prefecture,41.5000000,142.1000000
20230506022126,2023-05-06 02:25:00,anuncio,1,2023-05-06 02:21:00,495,3.1,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230506014547,2023-05-06 01:49:00,anuncio,1,2023-05-06 01:45:00,390,1.8,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230506012512,2023-05-06 01:27:00,anuncio,1,2023-05-06 01:25:00,495,3.1,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230506010207,2023-05-06 01:06:00,anuncio,1,2023-05-06 01:02:00,390,3.7,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230506010158,2023-05-06 01:05:00,anuncio,1,2023-05-06 01:01:00,189,4.5,2,Earthquake and Seismic Intensity Information,Off the southeast Coast of the Nemuro Peninsula,43.0000000,146.3000000
20230506000908,2023-05-06 00:11:00,anuncio,1,2023-05-06 00:09:00,495,3.1,1,Earthquake and Seismic Intensity Information,Off the Coast of Noto Peninsula,37.6000000,137.3000000
20230505234229,2023-05-05 23:45:00,anuncio,1,2023-05-05 23:42:00,390,2.6,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
20230505232653,2023-05-05 23:29:00,anuncio,1,2023-05-05 23:26:00,390,4.0,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230505231854,2023-05-05 23:23:00,anuncio,1,2023-05-05 23:18:00,390,4.5,4,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
20230505230711,2023-05-05 23:09:00,anuncio,1,2023-05-05 23:07:00,390,3.7,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230505225143,2023-05-05 22:54:00,anuncio,1,2023-05-05 22:51:00,390,3.9,3,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230505224835,2023-05-05 22:51:00,anuncio,1,2023-05-05 22:48:00,390,3.3,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230505224640,2023-05-05 22:49:00,anuncio,1,2023-05-05 22:46:00,390,3.6,3,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
20230505224401,2023-05-05 22:47:00,anuncio,1,2023-05-05 22:44:00,390,2.9,1,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230505223455,2023-05-05 22:38:00,anuncio,1,2023-05-05 22:34:00,390,3.6,2,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
20230505223402,2023-05-05 22:37:00,anuncio,1,2023-05-05 22:34:00,390,4.1,3,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.3000000
20230505222644,2023-05-05 22:30:00,anuncio,1,2023-05-05 22:26:00,390,4.2,3,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture",37.5000000,137.2000000
