Fecha y Hora,Latitud,Longitud,Profundidad,Magnitud,Ubicación,País
2023-04-29 09:49:27,26.0049,128.5276,10.0,4.9,74 km ESE of Katsuren-haebaru,Japan
2023-04-28 21:31:23,26.0178,128.5366,10.0,4.6,74 km ESE of Katsuren-haebaru,Japan
2023-04-28 21:26:48,25.9777,128.5998,0.0,4.7,82 km ESE of Katsuren-haebaru,Japan
2023-04-28 12:04:48,33.6899,140.6372,55.788,4.4,159 km SSE of Wada,Japan
2023-04-28 01:45:55,42.0135,142.6511,64.045,4.3,19 km SW of Urakawa,Japan
2023-04-27 16:08:54,26.4202,128.1057,33.086,4.5,14 km ESE of Ginoza,Japan
2023-04-27 07:43:06,37.1158,141.0486,64.1,4.3,16 km ENE of Iwaki,Japan
2023-04-27 02:06:59,25.9991,128.5732,10.0,4.9,79 km ESE of Katsuren-haebaru,Japan
2023-04-27 01:43:38,26.0768,128.5684,10.0,5.3,Ryukyu Islands,Japan
2023-04-27 01:41:11,25.9506,128.5881,10.0,4.6,83 km ESE of Katsuren-haebaru,Japan
2023-04-25 11:49:35,37.7082,141.8009,55.318,4.5,near the east coast of Honshu,Japan
2023-04-25 07:32:00,40.0916,141.8077,58.842,4.4,1 km SSW of Noda,Japan
2023-04-22 08:06:20,30.5878,132.4042,14.194,4.3,135 km E of Nishinoomote,Japan
2023-04-21 19:41:35,37.3471,141.2384,48.89,4.4,19 km E of Tomioka,Japan
2023-04-21 19:33:40,30.6284,132.3882,12.69,4.8,southeast of Shikoku,Japan
2023-04-21 19:00:43,30.6298,132.4274,10.0,4.8,137 km E of Nishinoomote,Japan
2023-04-21 18:49:20,30.5012,132.3846,10.0,4.3,135 km ESE of Nishinoomote,Japan
2023-04-21 17:46:58,30.6799,132.3499,10.0,4.6,129 km E of Nishinoomote,Japan
2023-04-21 15:10:44,23.7982,123.4551,28.421,4.2,87 km SSE of Yonakuni,Japan
2023-04-21 10:09:55,24.9789,123.4754,110.883,4.5,74 km NE of Yonakuni,Japan
2023-04-21 06:43:03,40.3631,142.3185,46.33,4.2,50 km ENE of Kuji,Japan
2023-04-21 02:39:15,30.602,132.3651,10.0,4.0,131 km E of Nishinoomote,Japan
2023-04-21 01:38:22,30.6773,132.3406,10.0,4.5,southeast of Shikoku,Japan
2023-04-20 23:09:46,31.242,130.3113,167.003,4.2,2 km S of Makurazaki,Japan
2023-04-20 20:45:40,30.5552,132.3235,10.0,4.5,128 km E of Nishinoomote,Japan
2023-04-20 13:18:07,30.5707,132.4598,12.904,4.1,southeast of Shikoku,Japan
2023-04-20 12:25:57,30.6226,132.4145,16.679,4.7,136 km E of Nishinoomote,Japan
2023-04-20 08:50:24,30.6153,132.3872,10.0,4.6,133 km E of Nishinoomote,Japan
2023-04-16 11:25:07,37.1899,141.4325,42.953,4.3,40 km ESE of Tomioka,Japan
2023-04-16 05:11:37,25.8585,125.4371,10.0,4.6,southwestern Ryukyu Islands,Japan
2023-04-14 20:40:52,39.2108,142.4447,50.41,4.4,50 km ESE of ?tsuchi,Japan
2023-04-12 18:55:11,37.6961,142.4485,31.232,4.4,128 km SE of Ishinomaki,Japan
2023-04-12 02:45:55,37.0844,141.2564,56.66,4.3,near the east coast of Honshu,Japan
2023-04-11 14:35:20,37.0309,137.1615,267.162,4.0,17 km E of Nanao,Japan
2023-04-11 14:10:47,35.5838,140.2569,65.889,4.4,9 km SW of Yachimata,Japan
2023-04-11 09:38:10,42.6258,143.6978,101.142,4.6,20 km S of Honch?,Japan
2023-04-09 12:45:36,24.3665,123.0428,48.38,4.9,southwestern Ryukyu Islands,Japan
2023-04-09 06:10:23,36.3005,141.3865,36.319,4.0,72 km E of ?arai,Japan
2023-04-08 09:40:14,42.2553,142.9919,69.216,4.2,15 km NNE of Honch?,Japan
2023-04-08 00:01:25,36.0445,139.5358,61.277,4.0,3 km SSE of K?nosu,Japan
2023-04-07 09:49:03,25.5056,126.1397,57.216,4.6,114 km NE of Hirara,Japan
2023-04-07 06:46:00,36.7558,141.4873,75.385,4.1,62 km ESE of Iwaki,Japan
2023-04-04 15:24:17,35.1178,137.2091,42.089,4.2,6 km NE of Toyota,Japan
2023-04-04 09:15:42,42.8125,144.9347,73.955,4.6,25 km SSE of Akkeshi,Japan
2023-04-03 21:53:56,36.1027,140.6022,82.838,4.0,15 km NNW of Kashima-shi,Japan
2023-04-02 02:34:26,36.45,140.5643,64.665,4.2,1 km S of Funaishikawa,Japan
2023-04-01 22:14:07,36.2852,141.5262,31.127,4.4,84 km E of ?arai,Japan
2023-04-01 03:41:11,38.2893,138.7706,16.945,4.8,37 km NE of Ry?tsu-minato,Japan
